name	x	y	z	size	group	material	manufacturer	seizure_onset_zone	anatomical_label
LAD_1	n/a	n/a	n/a	1.0	LAD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAD_2	n/a	n/a	n/a	1.0	LAD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAD_3	n/a	n/a	n/a	1.0	LAD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAD_4	n/a	n/a	n/a	1.0	LAD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_1	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_2	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_3	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_4	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_5	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_6	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_7	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAF_8	n/a	n/a	n/a	1.0	LAF	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAI_10	n/a	n/a	n/a	1.0	LAI	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAI_11	n/a	n/a	n/a	1.0	LAI	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAI_12	n/a	n/a	n/a	1.0	LAI	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAI_7	n/a	n/a	n/a	1.0	LAI	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAI_8	n/a	n/a	n/a	1.0	LAI	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LAI_9	n/a	n/a	n/a	1.0	LAI	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LPD_1	n/a	n/a	n/a	1.0	LPD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LPD_2	n/a	n/a	n/a	1.0	LPD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LPD_3	n/a	n/a	n/a	1.0	LPD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
LPD_4	n/a	n/a	n/a	1.0	LPD	Platinum/Iridium	AD-Tech Medical / PMT	0	n/a
